CUINamedLayerStack,CUINamedLookup
UITableViewCellSelectedBackground,UIView
_UILabelLayer,CALayer
_UIViewServiceFencingControlProxy,_UIQueueingProxy
_NSCFTranslatedFileURLProtocol_PIMPL_2,_NSCFTranslatedFileURLProtocol
BSEventQueueLock,NSObject
__NSOrderedSetM,NSMutableOrderedSet
WebGeolocationPosition,NSObject
UIKeyboardSplitTransitionView,UIView
NSGrammarCheckingResult,NSTextCheckingResult
DOMWebKitAnimationEvent,DOMEvent
CITagWithColorSpace,CIFilter
FBSDisplayLayoutMonitorClient,FBSSystemServiceFacilityClient
UICompletionTable,UIView
UIPrintPanelTableViewController,UITableViewController
_UIFocusEngineScrollAnimationDelegate,NSObject
UIStatusBarStyleAnimationParameters,UIStatusBarAnimationParameters
CSIBitmapWrapper,NSObject
_CPPowerAssertionThread,NSThread
LSInstallProgressList,NSObject
__NSCFError,NSError
UIDragRecognizer,UIGestureRecognizer
SBSApplicationShortcutIcon,NSObject
BSTransaction,NSObject
BKSProcessAssertionEvent,NSObject
NSKeyValueNonmutatingArrayMethodSet,NSKeyValueNonmutatingCollectionMethodSet
WebUndefined,NSObject
NSHTTPCookieStorageInternal,NSObject
_NSNegateBooleanTransformer,_NSSharedValueTransformer
__NSATSStringSegment,NSString
OS_nw_path,OS_object
UIStepper,UIControl
_UIUserDefaultsActivityNavigationController,UINavigationController
_UIWindowAnimationController,NSObject
CAStateAddElement,CAStateElement
DOMImplementation,DOMObject
UICompletionCell,UITableViewCell
WebView,WAKView
UITableViewCellDeleteConfirmationControl_Legacy,UIControl
_UIModalItemActionSheetBackgroundView,_UIModalItemBackgroundView
UIManagedDocument,UIDocument
NSComparisonPredicateOperator,NSPredicateOperator
CIConvolution9Vertical,CIFilter
_UIDynamicCaretInput,UIView
_CUIThemePixelRendition,CUIThemeRendition
NSObservationSource,NSObject
CIBurstFaceConfigEntry,NSObject
BKSProcessAssertionDestroyEvent,BKSProcessAssertionEvent
TIHandwritingStrokes,NSObject
_UIPopoverSlidingChromeView,UIPopoverBackgroundView
NSLinkCheckingResult,NSTextCheckingResult
_UITextContainerView,UIView
CAPackage,NSObject
UIKBKeyView,UIView
_NSXPCInterfaceMethodInfo,NSObject
NSMachPort,NSPort
UITableViewConstants_IOS,NSObject
UIStoryboardSegue,NSObject
UICachedDeviceWhiteColor,UIDeviceWhiteColor
UIKeyboardTransitionSlice,NSObject
CISkyAndGrassAdjust,CIFilter
FBSWorkspace,NSObject
CSIGenerator,NSObject
TIKeyEventMapChinese,TIKeyEventMap
NSInvocation,NSObject
LSInstallProgressDelegate,NSObject
_UIStaticScrollBar,UIView
NSDataAsset,NSObject
_UIRefreshControlModernContentView,_UIRefreshControlContentView
BSAtomicFlag,NSObject
UITableViewCellDeleteConfirmationGestureRecognizer,UIGestureRecognizer
NSFileAccessClaim,NSObject
DOMTransitionEvent,DOMEvent
CIThermal,CILumaMap
UIPickerTableViewCell,UITableViewCell
_UITargetedProxy,NSProxy
OS_nw_path_evaluator,OS_object
WebProgressItem,NSObject
UIRuntimeConnection,NSObject
_EventPlaybackInfo,NSObject
_UITextViewRestorableScrollPosition,NSObject
UIKBHandwritingView,UIKBKeyView
NSTextContainer,NSObject
_NSCFTranslatedFileURLProtocol_PIMPL_3,_NSCFTranslatedFileURLProtocol
CIBurstImageFaceAnalysisContext,NSObject
NSAddressCheckingResult,NSTextCheckingResult
_NSObserverList,NSObject
FBSWorkspaceDestroySceneResponseEvent,FBSWorkspaceSceneUpdateResponseEvent
UIDeviceRGBColor,UIColor
_CUIExplicitlyPackedContentRendition,CUIThemeRendition
_UIBackdropViewSettingsATVUltraLight,_UIBackdropViewSettings
NSEncodingDetectionPlaceholder,NSObject
_EditScriptRangedAtom,NSObject
CAStateControllerTransition,NSObject
_UIRefreshControlDefaultContentView,_UIRefreshControlContentView
NSMutableStringProxy,NSDistantObject
_UIFocusAnimationConfiguration,NSObject
_NSXPCConnectionExpectedReplyInfo,NSObject
FBSWorkspaceDestroySceneRequestEvent,FBSWorkspaceSceneEvent
UITapAndAHalfRecognizer,UIGestureRecognizer
BSBaseXPCServer,NSObject
WebHistory,NSObject
NSCoder,NSObject
_UISiriTranscriptTextView,UITextView
SBSApplicationShortcutSystemIcon,SBSApplicationShortcutIcon
CUIPattern,NSObject
_UITableViewSeparatorView,UIView
UIKeyboardInputManagerClientRequest,NSObject
_UIBackdropViewSettingsATVAdaptiveLighten,_UIBackdropViewSettings
